"","Team","Year","Pass.Attempts","Pass.Completion.Rate","Avg.Passing.Yards","Rush Attempts","Avg Rushing Yards"
"73","Baltimore Colts",1950,159,42.2,942.5,9.66666666666667,33.6666666666667
"74","Baltimore Colts",1953,72.25,40.9,378,33.5,128.833333333333
"75","Baltimore Colts",1954,62.4,51.68,399,32.8333333333333,127.666666666667
"76","Baltimore Colts",1955,133,50.95,897.5,56.6666666666667,236.833333333333
"77","Baltimore Colts",1956,91.6666666666667,71.8666666666667,734,39.5714285714286,185.571428571429
"78","Baltimore Colts",1957,104,37.5666666666667,869.333333333333,45,167
"79","Baltimore Colts",1958,176,48.9,1269,61.5,270.25
"80","Baltimore Colts",1959,367,52.6,2899,70.3333333333333,275.333333333333
"81","Baltimore Colts",1960,378,50.3,3099,21.6666666666667,82
"82","Baltimore Colts",1961,420,54.5,2990,59,244.75
"83","Baltimore Colts",1962,201,47.8,1526,54.75,184
"84","Baltimore Colts",1963,207.5,38.9,1750.5,60.3333333333333,256
"85","Baltimore Colts",1964,154.5,63.4,1441,26.6666666666667,125.333333333333
"86","Baltimore Colts",1965,144.5,36.25,1274.5,22.25,77.5
"87","Baltimore Colts",1966,175.5,28,1374,35.6666666666667,139.666666666667
"88","Baltimore Colts",1967,152.333333333333,44.9333333333333,1187,44,188.5
"89","Baltimore Colts",1968,NA,NA,NA,43.6,170.8
"90","Baltimore Colts",1969,165,43.85,1194,55,210.4
"91","Baltimore Colts",1970,321,51.7,2213,29,94.8333333333333
"92","Baltimore Colts",1971,88.5,26.15,471,38.6666666666667,147.777777777778
"93","Baltimore Colts",1972,157,56.1,1111,57.1666666666667,218.833333333333
"94","Baltimore Colts",1973,NA,NA,NA,36.1666666666667,127.333333333333
"95","Baltimore Colts",1974,NA,NA,NA,33.6,117.2
"96","Baltimore Colts",1975,NA,NA,NA,65,217.333333333333
"97","Baltimore Colts",1976,NA,NA,NA,57.25,220
"98","Baltimore Colts",1977,NA,NA,NA,57,203.75
"99","Baltimore Colts",1978,NA,NA,NA,84,330.333333333333
"100","Baltimore Colts",1979,229,29.55,1466,72,233
"101","Baltimore Colts",1980,47,51.1,275,74.3333333333333,286.166666666667
"102","Baltimore Colts",1981,NA,NA,NA,33.1666666666667,147.166666666667
"103","Baltimore Colts",1982,129,48.05,739,32.25,117.25
"104","Baltimore Colts",1983,113.333333333333,53.2333333333333,802.333333333333,103.333333333333,530
"105","Baltimore Ravens",1996,285,53.4,2137,13.2,60.2
"106","Baltimore Ravens",1997,293,57.75,1964.5,12,47.5
"107","Baltimore Ravens",1998,158.666666666667,55.0333333333333,1050.66666666667,17,64.8333333333333
"108","Baltimore Ravens",1999,245,49.05,1562,48.7142857142857,178.142857142857
"109","Baltimore Ravens",2001,NA,NA,NA,37,147.2
"110","Baltimore Ravens",2002,91.5,26.65,517,62.8333333333333,268
"111","Baltimore Ravens",2003,NA,NA,NA,96.4,497.4
"112","Baltimore Ravens",2004,NA,NA,NA,68.5,294.166666666667
"113","Baltimore Ravens",2005,NA,NA,NA,97,348.25
"114","Baltimore Ravens",2006,NA,NA,NA,118,437
"115","Baltimore Ravens",2007,NA,NA,NA,8,30.5
"116","Baltimore Ravens",2008,428,60,2971,29.1666666666667,116.333333333333
"117","Baltimore Ravens",2009,250,31.55,1806.5,50,235.833333333333
"118","Baltimore Ravens",2010,163.666666666667,87.5333333333333,1209.66666666667,70.8,264.2
"119","Baltimore Ravens",2011,181.333333333333,85.8666666666667,1209.66666666667,50.1428571428571,221.714285714286
"120","Baltimore Ravens",2012,280,59.15,1998,49.1111111111111,210.222222222222
"121","Baltimore Ravens",2013,309.5,39.5,1957,52.625,166
"122","Baltimore Ravens",2014,554,62.1,3986,74.1666666666667,333.833333333333
"123","Baltimore Ravens",2015,170.333333333333,74.7333333333333,1118,30.8333333333333,120.5
"124","Baltimore Ravens",2016,226.333333333333,38.3,1447.66666666667,28.2307692307692,112.538461538462
"125","Boston Braves",1932,NA,NA,NA,36.8,166.6
"126","Boston Patriots",1960,NA,NA,NA,21.6,91
"127","Boston Patriots",1961,69,63.3333333333333,455.333333333333,25.8333333333333,121.666666666667
"128","Boston Patriots",1962,127.333333333333,43.8333333333333,976.666666666667,30,183
"129","Boston Patriots",1963,136,28.9333333333333,929.666666666667,55.6,237.4
"130","Boston Patriots",1964,158.666666666667,49.4,1155.66666666667,55.8,204.2
"131","Boston Patriots",1965,213.5,20.3,1298.5,53.3333333333333,167.5
"132","Boston Patriots",1966,382,47.4,2721,77.3333333333333,320.5
"133","Boston Patriots",1967,344,46.8,2317,46.25,195.5
"134","Boston Patriots",1968,176,38.1,889,43.8888888888889,142.555555555556
"135","Boston Patriots",1969,112.666666666667,27.2,730.333333333333,72,291.8
"136","Boston Patriots",1970,196,44.9,987.5,45.8571428571429,142.285714285714
"137","Boston Redskins",1933,NA,NA,NA,33.1428571428571,174
"138","Boston Redskins",1934,NA,NA,NA,24.2857142857143,108.857142857143
"139","Boston Redskins",1935,NA,NA,NA,32.2857142857143,91.2857142857143
"140","Boston Redskins",1936,32,24.3666666666667,146.666666666667,61.8,237
"141","Boston Yanks",1944,45.5,46.15,271,36.4,78.4
"142","Boston Yanks",1945,NA,NA,NA,27.2222222222222,72.6666666666667
"143","Boston Yanks",1946,39.5,69.8166666666667,258.333333333333,25.5,60.3
"144","Boston Yanks",1947,59.25,32.725,415.25,31.25,97.875
"145","Boston Yanks",1948,40.1666666666667,37.3,198.166666666667,26.4444444444444,84.4444444444444
"146","Brooklyn Dodgers",1930,NA,NA,NA,0,0
"147","Brooklyn Dodgers",1931,NA,NA,NA,0,0
"148","Brooklyn Dodgers",1932,NA,NA,NA,21.1428571428571,62.8571428571429
"149","Brooklyn Dodgers",1933,NA,NA,NA,42.4285714285714,132.714285714286
"150","Brooklyn Dodgers",1934,NA,NA,NA,27.25,95.5
"151","Brooklyn Dodgers",1935,NA,NA,NA,38.7142857142857,118
"152","Brooklyn Dodgers",1936,NA,NA,NA,24.2857142857143,74.2857142857143
"153","Brooklyn Dodgers",1937,NA,NA,NA,27.5454545454545,77.6363636363636
"154","Brooklyn Dodgers",1938,NA,NA,NA,27.8181818181818,83.8181818181818
"155","Brooklyn Dodgers",1939,43.25,41.825,254.75,32.2,106.2
"156","Brooklyn Dodgers",1940,NA,NA,NA,35.7777777777778,122.777777777778
"157","Brooklyn Dodgers",1941,64.3333333333333,44.5,371.333333333333,48.8333333333333,182.833333333333
"158","Brooklyn Dodgers",1942,31,24.2,150.666666666667,37.1666666666667,114.833333333333
"159","Brooklyn Dodgers",1943,NA,NA,NA,21.7,29.4
"160","Brooklyn Tigers",1944,NA,NA,NA,30.6666666666667,88.7777777777778
"161","Buffalo Bills",1960,145,44.8,1033,44.5,169
"162","Buffalo Bills",1961,65.5,27.95,400.25,43,156.428571428571
"163","Buffalo Bills",1962,90.6666666666667,30.7333333333333,610.666666666667,60.3333333333333,295.833333333333
"164","Buffalo Bills",1963,152,65.6,1127.33333333333,56.1428571428571,240.428571428571
"165","Buffalo Bills",1964,198.5,43.6,1711,90.25,377
"166","Buffalo Bills",1965,230.5,43.6,1372,54.5,178.5
"167","Buffalo Bills",1966,236.5,41,1500,68.3333333333333,277.333333333333
"168","Buffalo Bills",1967,216.5,39,1381.5,100.666666666667,375.333333333333
"169","Buffalo Bills",1968,73.6666666666667,34.2666666666667,310.666666666667,38.1428571428571,138.571428571429
"170","Buffalo Bills",1969,73.1666666666667,62.8833333333333,449.333333333333,25.125,101.375
"171","Buffalo Bills",1970,133.333333333333,47.1333333333333,972,35.5,140.833333333333
"172","Buffalo Bills",1971,197,50.35,1162.5,33,152
"173","Buffalo Bills",1972,102,47.0666666666667,631.666666666667,16.6666666666667,65
"174","Buffalo Bills",1973,70.3333333333333,30.7666666666667,413,31.4,113.8
"175","Buffalo Bills",1974,125,50.65,864,30,97.25
"176","Buffalo Bills",1975,177,46,1330.5,10.3333333333333,50.5
"177","Buffalo Bills",1976,191.5,42.15,1042,31.5714285714286,129.571428571429
"178","Buffalo Bills",1977,457,48.4,2803,11,71.25
"179","Buffalo Bills",1978,172.5,39.85,1087.5,21,74.75
"180","Buffalo Bills",1979,458,52,3572,9,22.3333333333333
"181","Buffalo Bills",1980,148.666666666667,80.1666666666667,961.333333333333,20.8,58.8
"182","Buffalo Bills",1981,249.5,25.3,1826,28.75,101
"183","Buffalo Bills",1982,264,54.5,1597,38.3333333333333,157.333333333333
"184","Buffalo Bills",1983,284.5,56.35,1717.5,17.4,58.2
"185","Buffalo Bills",1984,218.5,45.5,1211.5,57.3333333333333,242.166666666667
"186","Buffalo Bills",1985,129.25,50.375,832.75,65.25,282
"187","Buffalo Bills",1986,249.5,53.4,1848.5,43,172.75
"188","Buffalo Bills",1987,110.5,48.25,725.25,29.125,118.375
"189","Buffalo Bills",1988,227,79.75,1705.5,69.8333333333333,291
"190","Buffalo Bills",1989,239,59.6,1915.5,64.5,277.5
"191","Buffalo Bills",1990,141.333333333333,57.9,1134.66666666667,50,223.875
"192","Buffalo Bills",1991,257.5,65,2074.5,72.1428571428571,340.142857142857
"193","Buffalo Bills",1992,254.5,54.65,1839,60.2222222222222,265.111111111111
"194","Buffalo Bills",1993,165.666666666667,40.9333333333333,1178.33333333333,89.1666666666667,313.166666666667
"195","Buffalo Bills",1994,180.666666666667,74.6,1238,66,255.285714285714
"196","Buffalo Bills",1995,159,37.1,1078.66666666667,41,154.375
"197","Buffalo Bills",1996,192,49.3,1409.5,48.1428571428571,176.428571428571
"198","Buffalo Bills",1997,124,48.4,684,42.25,173.25
"199","Buffalo Bills",1998,230.5,59.85,1810.5,37,163
"200","Buffalo Bills",1999,171,76.2333333333333,1159.33333333333,58.1666666666667,236.833333333333
"201","Buffalo Bills",2001,261.5,60,1760.5,27.3333333333333,144.666666666667
"202","Buffalo Bills",2002,NA,NA,NA,11,56
"203","Buffalo Bills",2003,NA,NA,NA,2.25,12.25
"204","Buffalo Bills",2004,NA,NA,NA,3,27
"205","Buffalo Bills",2005,NA,NA,NA,2.33333333333333,11
"206","Buffalo Bills",2006,NA,NA,NA,37.6666666666667,136.333333333333
"207","Buffalo Bills",2007,135,78.05,819,65.8333333333333,263.666666666667
"208","Buffalo Bills",2008,374,65.5,2699,53.375,221.5
"209","Buffalo Bills",2009,137,72,872.666666666667,52,229.5
"210","Buffalo Bills",2010,246.5,56.8,1620.5,48.875,213.75
"211","Buffalo Bills",2011,288.5,49.75,1928.5,71.4,357.6
"212","Buffalo Bills",2012,255,60.3,1715,69.8333333333333,343.666666666667
"213","Buffalo Bills",2013,231.5,59,1532,65.75,278.25
"214","Buffalo Bills",2014,193,40.7333333333333,1285.33333333333,51.4285714285714,191.285714285714
"215","Buffalo Bills",2015,155,75.2,1200,33.5833333333333,156.25
"216","Buffalo Bills",2016,118.5,39.625,812.5,41,219.166666666667
"217","Card-Pitt Combine",1944,37,22.1,131.5,19,45.8333333333333
"218","Carolina Panthers",1995,84,44,441,16.2857142857143,59.7142857142857
"219","Carolina Panthers",1996,NA,NA,NA,91.75,355.25
"220","Carolina Panthers",1997,NA,NA,NA,48.5,202.833333333333
"221","Carolina Panthers",1998,NA,NA,NA,55,193
"222","Carolina Panthers",1999,NA,NA,NA,26.4285714285714,94
"223","Carolina Panthers",2001,540,54.3,2931,27,92
"224","Carolina Panthers",2002,154.333333333333,45.7666666666667,993.666666666667,16.3333333333333,49.6666666666667
"225","Carolina Panthers",2003,153.333333333333,33.0666666666667,1079.33333333333,98.8,404.6
"226","Carolina Panthers",2004,178.333333333333,52.7333333333333,1296.33333333333,56.8333333333333,215.166666666667
"227","Carolina Panthers",2005,149.666666666667,38,1161.66666666667,76.3333333333333,268.666666666667
"228","Carolina Panthers",2006,134.75,43.45,871.5,43.6666666666667,173.666666666667
"229","Carolina Panthers",2007,126.25,57.3,735.25,54.5,222.75
"230","Carolina Panthers",2008,414,59.4,3288,82.5,403.166666666667
"231","Carolina Panthers",2009,155,44.6,1023.33333333333,82.1666666666667,396.333333333333
"232","Carolina Panthers",2010,39.25,51.3,226,32.5833333333333,143.333333333333
"233","Carolina Panthers",2011,173,86.6666666666667,1363,55.25,299.5
"234","Carolina Panthers",2012,163.333333333333,52.5666666666667,1309,50.8888888888889,231.666666666667
"235","Carolina Panthers",2013,473,61.7,3379,59.75,252.5
"236","Carolina Panthers",2014,272.5,62.75,1914,54.875,244.875
"237","Carolina Panthers",2015,250.5,63.25,1936.5,52.5,226.6
"238","Carolina Panthers",2016,281.5,60.4,1981,56.625,226.75
"239","Chicago Bears",1926,NA,NA,NA,0,0
"240","Chicago Bears",1927,NA,NA,NA,0,0
"241","Chicago Bears",1928,NA,NA,NA,0,0
"242","Chicago Bears",1929,NA,NA,NA,0,0
"243","Chicago Bears",1930,NA,NA,NA,0,0
"244","Chicago Bears",1931,NA,NA,NA,0,0
"245","Chicago Bears",1932,NA,NA,NA,41.8333333333333,146.833333333333
"246","Chicago Bears",1933,NA,NA,NA,54,212.5
"247","Chicago Bears",1934,NA,NA,NA,75.75,446.25
"248","Chicago Bears",1935,NA,NA,NA,44.6,149.8
"249","Chicago Bears",1936,NA,NA,NA,61.8333333333333,240.333333333333
"250","Chicago Bears",1937,NA,NA,NA,52.25,185.625
"251","Chicago Bears",1938,NA,NA,NA,35.3636363636364,132.909090909091
"252","Chicago Bears",1939,38.5,31.425,287.75,36.6,176
"253","Chicago Bears",1940,NA,NA,NA,46.375,190.375
"254","Chicago Bears",1941,NA,NA,NA,36.5,190
"255","Chicago Bears",1942,44.5,21,475.5,37,154.4
"256","Chicago Bears",1943,NA,NA,NA,32,140
"257","Chicago Bears",1944,NA,NA,NA,47.2,227.2
"258","Chicago Bears",1945,NA,NA,NA,54,230.333333333333
"259","Chicago Bears",1946,NA,NA,NA,39.4545454545455,151.363636363636
"260","Chicago Bears",1947,NA,NA,NA,34.1111111111111,126.111111111111
"261","Chicago Bears",1948,NA,NA,NA,28.8888888888889,120.888888888889
"262","Chicago Bears",1949,NA,NA,NA,22.5,64.5
"263","Chicago Bears",1950,NA,NA,NA,14.5,49.75
"264","Chicago Bears",1951,NA,NA,NA,1.66666666666667,4
"265","Chicago Bears",1952,NA,NA,NA,14,68
"266","Chicago Bears",1953,NA,NA,NA,21.25,86.5
"267","Chicago Bears",1954,NA,NA,NA,38.4,109.2
"268","Chicago Bears",1955,NA,NA,NA,77.25,383.5
"269","Chicago Bears",1956,NA,NA,NA,85,385
"270","Chicago Bears",1957,NA,NA,NA,66.8333333333333,242.166666666667
"271","Chicago Bears",1958,NA,NA,NA,113,463.666666666667
"272","Chicago Bears",1959,NA,NA,NA,79.6666666666667,295
"273","Chicago Bears",1960,NA,NA,NA,64.5,261.5
"274","Chicago Bears",1961,125.5,77.8,1134.5,86.75,387
"275","Chicago Bears",1962,207,52.3,1603.5,51.2,213.6
"276","Chicago Bears",1963,178.5,26.95,1150.5,78.25,294
"277","Chicago Bears",1964,165.5,27.85,972,56,179.25
"278","Chicago Bears",1965,NA,NA,NA,58.8,261
"279","Chicago Bears",1966,NA,NA,NA,48.6666666666667,237.166666666667
"280","Chicago Bears",1967,NA,NA,NA,71.75,308
"281","Chicago Bears",1968,48,22.475,282.5,53.6666666666667,268.5
"282","Chicago Bears",1969,36.5,25.35,171.5,48.6666666666667,207.833333333333
"283","Chicago Bears",1970,NA,NA,NA,17.6666666666667,45.6666666666667
"284","Chicago Bears",1971,69,18.6,380,20.4285714285714,76.2857142857143
"285","Chicago Bears",1972,NA,NA,NA,37.375,128
"286","Chicago Bears",1973,NA,NA,NA,41.25,147.875
"287","Chicago Bears",1974,NA,NA,NA,15.6,51.8
"288","Chicago Bears",1975,NA,NA,NA,84.2,316.4
"289","Chicago Bears",1976,NA,NA,NA,50.3,210.5
"290","Chicago Bears",1977,NA,NA,NA,86.5,425
"291","Chicago Bears",1978,NA,NA,NA,85.4285714285714,351.571428571429
"292","Chicago Bears",1979,64.4,50.66,423.8,65.1428571428571,270.142857142857
"293","Chicago Bears",1980,101,25.8,667.25,84.6666666666667,366
"294","Chicago Bears",1981,91.4,41.88,508.6,60,223
"295","Chicago Bears",1982,NA,NA,NA,27.1666666666667,104.5
"296","Chicago Bears",1983,75.5,51.2,601.5,46,215
"297","Chicago Bears",1984,NA,NA,NA,66.4285714285714,295.857142857143
"298","Chicago Bears",1985,NA,NA,NA,52.875,245.125
"299","Chicago Bears",1986,67,33,488.666666666667,54.5555555555556,251.222222222222
"300","Chicago Bears",1987,53.25,40.5,340.25,30.1666666666667,125.583333333333
"301","Chicago Bears",1988,67.25,49.775,456.75,48.875,212.125
"302","Chicago Bears",1989,242,56.7,1631,57.7142857142857,266.571428571429
"303","Chicago Bears",1990,139,65.0666666666667,907,52,224.714285714286
"304","Chicago Bears",1991,239.5,28.75,1560.5,63.8,244.4
"305","Chicago Bears",1992,180.5,44.85,1264.5,60.4,256
"306","Chicago Bears",1993,109.333333333333,20.5,667.333333333333,69.25,238.75
"307","Chicago Bears",1994,343,60.6,2078,108.75,349
"308","Chicago Bears",1995,NA,NA,NA,38.3333333333333,138.222222222222
"309","Chicago Bears",1996,NA,NA,NA,58.8333333333333,218.833333333333
"310","Chicago Bears",1997,NA,NA,NA,45.8571428571429,173.428571428571
"311","Chicago Bears",1998,NA,NA,NA,46.8,186.6
"312","Chicago Bears",1999,275,60.7,1645,67.2,215
"313","Chicago Bears",2001,65,82.55,360.5,83.8,330.2
"314","Chicago Bears",2002,43,57.675,273.5,49.2,176.4
"315","Chicago Bears",2003,192,55.7,1050,44.375,171.875
"316","Chicago Bears",2004,49.5,26,206.5,29.2,108.8
"317","Chicago Bears",2005,185,50.8,943.5,33.6666666666667,146.666666666667
"318","Chicago Bears",2006,NA,NA,NA,10,41
